sleep_hours,screen_time,attendance,assignments,cooked_score
6,16,44,15,100.0
3,16,65,12,100.0
12,13,49,10,100.0
10,8,66,14,90.0
7,7,68,7,75.0
12,1,66,15,92.0
4,12,37,10,100.0
6,6,85,4,41.0
9,8,87,6,42.0
2,10,52,7,100.0
6,13,55,15,100.0
10,3,38,14,100.0
10,12,47,8,100.0
7,1,59,2,45.0
4,4,95,2,9.0
3,10,34,3,90.0
7,5,60,4,22.0
7,9,58,9,81.0
2,3,21,0,67.0
5,8,82,14,100.0
4,5,48,14,100.0
1,1,93,6,66.0
7,16,85,8,100.0
11,4,70,7,29.0
5,5,94,14,95.0
1,11,96,14,100.0
11,9,29,4,79.0
4,5,33,13,100.0
0,7,70,13,100.0
11,1,92,3,27.0
9,11,58,11,100.0
5,12,47,6,100.0
12,6,22,4,71.0
11,9,89,6,51.0
8,12,46,11,100.0
0,16,21,0,100.0
10,13,57,0,59.0
10,1,22,15,100.0
9,10,35,9,100.0
11,0,59,13,88.0
11,3,21,12,100.0
2,10,100,2,76.0
11,7,60,13,99.0
6,10,31,10,100.0
3,3,54,1,53.0
8,16,84,1,78.0
2,6,74,6,72.0
4,7,64,11,87.0
2,2,98,9,70.0
6,1,81,1,16.0
4,14,68,10,100.0
8,4,44,3,36.0
6,0,42,1,40.0
1,3,43,5,97.0
3,14,57,7,100.0
8,2,47,9,70.0
11,10,40,15,100.0
1,16,73,3,100.0
9,12,37,14,100.0
8,10,55,4,48.0
9,1,64,3,25.0
4,8,92,2,62.0
1,1,72,4,65.0
3,8,49,13,100.0
11,8,79,8,49.0
11,7,51,7,85.0
6,16,86,7,100.0
11,0,86,7,27.0
12,10,47,11,100.0
7,7,63,7,53.0
2,9,98,6,84.0
0,6,60,7,99.0
3,2,82,10,100.0
1,2,42,13,100.0
7,4,94,15,92.0
3,11,67,7,88.0
1,11,51,12,100.0
5,5,76,13,89.0
5,1,52,7,68.0
9,11,43,11,100.0
3,4,58,9,68.0
5,11,53,6,81.0
12,16,75,11,100.0
1,16,47,0,100.0
9,9,56,3,51.0
11,16,26,12,100.0
1,14,87,12,100.0
9,11,56,15,100.0
3,15,75,3,91.0
7,7,84,4,45.0
6,16,84,9,100.0
11,4,66,5,46.0
8,15,39,3,92.0
7,5,38,14,100.0
4,7,48,1,74.0
12,11,93,15,100.0
1,14,79,5,96.0
4,8,37,14,100.0
7,12,54,7,79.0
9,14,62,14,100.0
8,9,30,7,95.0
11,15,68,6,91.0
11,6,57,5,51.0
11,16,83,1,40.0
12,6,88,14,100.0
8,13,27,6,100.0
12,14,53,10,100.0
12,6,67,11,77.0
0,8,75,13,100.0
8,15,95,15,100.0
6,7,84,13,100.0
8,6,50,4,35.0
7,2,23,15,100.0
0,9,69,5,75.0
11,6,88,9,68.0
7,16,49,7,100.0
7,13,78,15,100.0
10,2,86,13,83.0
2,11,94,7,100.0
0,12,64,2,89.0
7,1,23,11,100.0
2,2,45,15,100.0
2,4,46,11,100.0
0,10,65,13,100.0
10,7,83,6,66.0
4,11,70,0,42.0
9,6,69,0,9.0
6,14,25,6,100.0
9,16,78,14,100.0
8,3,34,14,100.0
11,12,49,9,94.0
6,0,61,8,69.0
8,15,56,6,97.0
7,12,61,9,97.0
11,9,54,4,65.0
1,11,25,7,100.0
0,1,87,1,43.0
6,2,37,8,81.0
6,9,92,5,57.0
7,1,48,12,100.0
4,12,96,8,100.0
2,12,78,15,100.0
11,2,66,1,9.0
7,6,36,2,65.0
